Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartDateTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.695393700,0.9157,0.9157,0.0000,0.1397,0.8509,0.1798,0.6711,14.8278,6.0653,NA,1891.2292,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.696309400,5.9408,5.9408,0.0000,0.0782,5.9437,0.1723,5.7714,19.9774,6.0750,-5.1496,1892.1449,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.702250200,5.9758,5.9758,0.0000,0.0857,5.9744,0.1689,5.8055,20.1116,5.3178,-0.1342,1898.0857,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.708226000,3.3766,3.3766,0.0000,0.0882,3.4375,0.2794,3.1581,NA,NA,0.6580,1904.0615,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.711602600,2.1916,2.1916,0.0000,0.1535,2.1189,0.1923,1.9266,16.0770,6.8136,NA,1907.4381,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.713794200,6.4692,6.4692,0.0000,0.0841,6.4844,0.1785,6.3059,20.6990,6.0597,-4.6220,1909.6297,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.720263400,5.7833,5.7833,0.0000,0.1045,5.7676,0.1710,5.5966,20.2895,3.7826,0.4095,1916.0989,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.726046700,2.6158,2.6158,0.0000,0.0924,2.6303,0.3704,2.2599,NA,NA,2.0007,1921.8822,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.728662500,3.2645,3.2645,0.0000,0.1134,3.2254,0.1885,3.0369,15.6730,8.3495,NA,1924.4980,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.731927000,6.6204,6.6204,0.0000,0.0786,6.6232,0.1772,6.4460,20.7580,6.0684,-5.0850,1927.7625,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.738547400,5.4732,5.4732,0.0000,0.0851,5.4935,0.1816,5.3119,NA,NA,0.5520,1934.3829,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.744020600,1.0143,1.0143,0.0000,0.1085,1.0661,0.2653,0.8008,14.7328,6.0846,NA,1939.8561,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.745034900,5.0905,5.0905,0.0000,0.1631,4.9769,0.1919,4.7850,19.8031,6.0565,-5.0703,1940.8704,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.750125400,5.9801,5.9801,0.0000,0.0527,6.0243,0.1831,5.8412,20.7691,6.0683,-0.9660,1945.9609,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.756105500,5.9395,5.9395,0.0000,0.1002,5.9861,0.2754,5.7107,NA,NA,-0.0882,1951.9410,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.762045000,1.0873,1.0873,0.0000,0.1498,1.0203,0.1858,0.8345,14.9178,6.0620,NA,1957.8805,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.763132300,5.2160,5.2160,0.0000,0.0888,5.2020,0.1820,5.0200,19.8925,6.0741,-4.9747,1958.9678,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.768348300,6.6209,6.6209,0.0000,0.0802,6.7175,0.1762,6.5413,20.7506,5.2582,-0.8581,1964.1838,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.774969200,4.8407,4.8407,0.0000,0.1741,4.7487,0.2708,4.4779,NA,NA,1.3627,1970.8047,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.779809900,1.0365,1.0365,0.0000,0.0868,1.0141,0.1985,0.8156,14.5472,6.8930,NA,1975.6454,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.780846400,6.3735,6.3735,0.0000,0.0703,6.3754,0.2256,6.1498,20.4037,6.0451,-5.8565,1976.6819,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.787219900,5.7204,5.7204,0.0000,0.0786,5.7848,0.2351,5.5497,20.0753,3.7193,0.3284,1983.0554,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.792940300,3.1451,3.1451,0.0000,0.1397,3.5181,0.7333,2.7848,NA,NA,2.0011,1988.7758,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.796085400,2.7306,2.7306,0.0000,0.5196,2.2726,0.2217,2.0509,14.9291,8.4157,NA,1991.9209,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.798816000,6.4817,6.4817,0.0000,0.0685,6.4912,0.2426,6.2486,20.6142,6.0727,-5.6851,1994.6515,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.805297700,6.7677,6.7677,0.0000,0.0834,6.8285,0.2910,6.5375,NA,NA,0.4090,2001.1332,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.812065400,0.2792,0.2792,0.0000,0.1442,0.2246,0.1985,0.0261,13.4375,6.1019,NA,2007.9009,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.812344600,4.5539,4.5539,0.0000,0.0954,4.5294,0.2065,4.3229,19.2602,6.0241,-5.8227,2008.1801,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.816898500,7.1585,7.1585,0.0000,0.0765,7.1502,0.1834,6.9668,20.7304,6.0595,-1.4702,2012.7340,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.824057000,5.1961,5.1961,0.0000,0.0754,5.2864,0.3298,4.9566,NA,NA,1.0990,2019.8925,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.829253100,0.3968,0.3968,0.0000,0.1722,0.2910,0.2402,0.0508,14.4353,6.0692,NA,2025.0886,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.829649900,5.3723,5.3723,0.0000,0.0713,5.3832,0.1819,5.2013,20.1077,6.0704,-5.6724,2025.4854,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.835022200,6.5152,6.5152,0.0000,0.0856,6.5140,0.1758,6.3382,20.8058,5.1979,-0.6981,2030.8577,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.841537400,3.7500,3.7500,0.0000,0.0911,3.8164,0.3004,3.5160,NA,NA,1.3173,2037.3729,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.845287400,2.6054,2.6054,0.0000,0.1612,2.4998,0.2129,2.2869,15.7385,6.9351,NA,2041.1229,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.847892800,5.2477,5.2477,0.0000,0.0592,5.2754,0.1952,5.0802,20.0682,6.0720,-4.3297,2043.7283,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.853140500,6.6734,6.6734,0.0000,0.0912,6.6441,0.1895,6.4546,20.8925,3.6594,-0.8243,2048.9760,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.859813900,3.6161,3.6161,0.0000,0.0707,3.6945,0.4018,3.2927,NA,NA,3.0140,2055.6494,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.863430000,1.9745,1.9745,0.0000,0.1537,2.2451,0.6505,1.5946,14.2624,8.4751,NA,2059.2655,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.865404500,5.4404,5.4404,0.0000,0.4296,5.0965,0.1816,4.9149,20.7630,6.0609,-6.5006,2061.2400,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.870844900,7.7670,7.7670,0.0000,0.0890,7.8121,0.2898,7.5223,NA,NA,-0.6205,2066.6804,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.878611900,0.2387,0.2387,0.0000,0.1341,0.1786,0.1786,0.0000,13.6165,6.0623,NA,2074.4474,NA,NA,NA
python.exe,24084,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:56.878850600,5.1784,5.1784,0.0000,0.0793,5.1725,0.2291,4.9434,19.4401,6.0639,-5.8236,2074.6861,NA,NA,NA
