Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartDateTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.121161100,3.9894,3.9894,0.0000,0.2478,3.8226,0.1547,3.6679,4.2710,13.3533,9.1436,3660.7505,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.125150500,1.0812,1.0812,0.0000,0.0810,1.5200,0.7728,0.7472,13.6349,2.6888,-9.3639,3664.7399,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.126231700,7.9865,7.9865,0.0000,0.5243,7.6953,0.3748,7.3205,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.134218200,5.7921,5.7921,0.0000,0.2383,5.9019,0.6770,5.2249,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.140010300,0.9127,0.9127,0.0000,0.3518,0.6490,0.1618,0.4872,1.4639,15.5203,12.1710,3679.5997,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.140923000,3.4049,3.4049,0.0000,0.0881,3.5452,0.7927,2.7525,16.0715,0.3159,-14.6076,3680.5124,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.144327900,5.1884,5.1884,0.0000,0.2329,5.3479,0.5769,4.7710,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.149516300,6.4809,6.4809,0.0000,0.3963,6.4557,0.5399,5.9158,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.155997200,0.4371,0.4371,0.0000,0.3760,0.1349,0.1300,0.0049,1.3132,17.8927,14.7583,3695.5866,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.156434300,5.0210,5.0210,0.0000,0.0738,5.3582,1.2348,4.1234,18.7688,0.2489,-17.4556,3696.0237,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.161455300,7.3601,7.3601,0.0000,0.4175,7.2798,0.6901,6.5897,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.168815400,4.9277,4.9277,0.0000,0.3414,4.9297,0.5320,4.3977,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.173743100,0.9579,0.9579,0.0000,0.3472,0.6798,0.1345,0.5453,1.7089,15.7853,17.0599,3713.3325,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.174701000,5.4361,5.4361,0.0000,0.0691,5.5370,0.8980,4.6390,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.180137100,6.3467,6.3467,0.0000,0.1749,6.8256,0.8193,6.0063,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.186483800,4.1344,4.1344,0.0000,0.6586,3.5971,0.2052,3.3919,4.7535,14.2829,-3.0446,3726.0732,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.190618200,2.4242,2.4242,0.0000,0.1213,2.4428,0.6650,1.7778,14.9020,2.5720,-10.1485,3730.2076,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.193042400,6.0882,6.0882,0.0000,0.1445,7.3567,0.8895,6.4672,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.199130600,5.1164,5.1164,0.0000,1.4173,4.0187,0.4759,3.5428,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.204247000,3.4181,3.4181,0.0000,0.3249,3.2770,0.2611,3.0159,3.8452,15.6382,11.0568,3743.8364,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.207665100,2.9934,2.9934,0.0000,0.1838,3.3691,0.9436,2.4255,16.0653,2.1309,-12.2201,3747.2545,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.210658500,6.4886,6.4886,0.0000,0.5637,6.1241,0.3482,5.7759,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.217147100,6.1577,6.1577,0.0000,0.2037,6.2153,0.5306,5.6847,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.223304800,2.3104,2.3104,0.0000,0.2664,2.1456,0.1899,1.9557,2.5565,15.0657,13.5088,3762.8942,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.225615200,2.8110,2.8110,0.0000,0.1016,3.2914,0.6195,2.6719,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.228426200,8.3709,8.3709,0.0000,0.5790,7.9892,0.4993,7.4899,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.236797100,3.7326,3.7326,0.0000,0.2014,3.6124,0.1930,3.4194,4.1299,17.5515,-1.5734,3776.3865,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.240529700,1.4750,1.4750,0.0000,0.0812,11.5147,1.0149,10.4998,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.242004700,12.4762,12.4762,0.0000,10.1264,2.6203,0.4055,2.2148,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.254480900,3.6439,3.6439,0.0000,0.2747,3.4802,0.2411,3.2391,3.9976,13.7764,0.1323,3794.0703,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.258124800,1.3095,1.3095,0.0000,0.1110,1.8909,0.8880,1.0029,14.1301,1.4967,-10.1325,3797.7142,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.259434300,5.6406,5.6406,0.0000,0.6977,5.6390,0.8632,4.7758,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.265074900,6.5679,6.5679,0.0000,0.7010,6.6116,0.8866,5.7250,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.271642800,1.7509,1.7509,0.0000,0.7495,1.0785,0.1818,0.8967,2.1088,16.7901,12.0213,3811.2322,NA,NA,NA
