Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartDateTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
python.exe,29332,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:19:05.047300200,1.0278,1.0278,0.0000,0.8361,0.6295,0.4544,0.1751,15.6886,18.2838,NA,2525.0893,NA,NA,NA
python.exe,29332,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:19:05.048328000,16.8706,16.8706,0.0000,0.4365,17.9211,1.6045,16.3166,NA,NA,NA,NA,NA,NA,NA
python.exe,29332,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:19:05.065198600,1.7675,1.7675,0.0000,1.4810,1.6076,1.3273,0.2803,16.0740,6.0468,-0.3854,2542.9877,NA,NA,NA
python.exe,29332,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:19:05.066966100,1.4727,1.4727,0.0000,1.3199,1.7050,1.5541,0.1509,NA,NA,NA,NA,NA,NA,NA
python.exe,29332,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:19:05.068438800,1.6661,1.6661,0.0000,1.5501,1.0000,0.8636,0.1364,NA,NA,NA,NA,NA,NA,NA
python.exe,29332,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:19:05.070104900,1.0817,1.0817,0.0000,0.8829,2.3726,2.1754,0.1972,NA,NA,NA,NA,NA,NA,NA
python.exe,29332,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:19:05.071186600,2.2724,2.2724,0.0000,2.1728,0.9308,0.8322,0.0986,16.1328,6.0234,-0.0588,2548.9757,NA,NA,NA
python.exe,29332,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:19:05.073459000,0.9171,0.9171,0.0000,0.8303,1.1122,0.9742,0.1380,NA,NA,NA,NA,NA,NA,NA
python.exe,29332,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:19:05.074376100,2.3893,2.3893,0.0000,1.0243,3.0632,1.5841,1.4791,18.9667,406.5116,-2.8339,2552.1652,NA,NA,NA
python.exe,29332,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:19:05.076765400,406.1102,406.1102,0.0000,1.6967,404.7000,12.7541,391.9459,423.0890,30.3134,-404.1223,2554.5545,NA,NA,NA
