Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartDateTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:26.498810200,0.3944,0.3944,0.0000,0.2841,0.4132,0.3086,0.1046,16.5838,6.0677,NA,1261.8156,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:26.499204600,8.2336,8.2336,0.0000,0.3003,8.3025,0.4883,7.8142,NA,NA,NA,NA,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:26.507438200,0.4527,0.4527,0.0000,0.3673,0.4509,0.3437,0.1072,NA,NA,NA,NA,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:26.507890900,0.4297,0.4297,0.0000,0.3637,0.4162,0.3367,0.0795,NA,NA,NA,NA,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:26.508320600,0.4033,0.4033,0.0000,0.3486,0.3995,0.3331,0.0664,13.1411,6.0561,3.4427,1271.3260,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:26.508723900,0.3979,0.3979,0.0000,0.3433,0.4395,0.3410,0.0985,NA,NA,NA,NA,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:26.509121800,0.5536,0.5536,0.0000,0.3819,0.6392,0.4238,0.2154,NA,NA,NA,NA,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:26.509675400,0.5941,0.5941,0.0000,0.4662,0.7669,0.6268,0.1401,NA,NA,NA,NA,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:26.510269500,1.0555,1.0555,0.0000,0.6382,0.8394,0.4112,0.4282,17.2483,236.5974,-4.1072,1273.2749,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:26.511325000,240.3902,240.3902,0.0000,0.4196,240.0431,5.5045,234.5386,252.7902,24.2639,-235.5419,1274.3304,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:26.751715200,19.8753,19.8753,0.0000,0.0773,19.8651,0.2121,19.6530,36.6639,206.0886,216.1263,1514.7206,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:26.771590500,215.5499,215.5499,0.0000,0.0715,215.6773,8.7015,206.9758,222.8772,30.5108,-186.2133,1534.5959,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:26.987140400,26.1352,26.1352,0.0000,0.2028,26.0081,0.2354,25.7727,37.8381,109.2228,185.0391,1750.1458,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:27.013275600,67.0386,67.0386,0.0000,0.0800,67.2326,0.4911,66.7415,NA,NA,-83.0876,1776.2810,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:27.080314200,0.4931,0.4931,0.0000,0.2740,0.3786,0.3786,0.0000,NA,NA,NA,NA,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:27.080807300,0.5845,0.5845,0.0000,0.1649,0.4943,0.2132,0.2811,53.3940,6.2822,NA,1843.8127,NA,NA,NA
python.exe,1968,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:22:27.081391800,58.2455,58.2455,0.0000,0.0708,59.0209,0.5298,58.4911,59.0917,1.3048,-5.6977,1844.3972,NA,NA,NA
python.exe,1968,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:22:27.139637300,1.8877,1.8877,0.0000,0.8462,1.0542,0.0877,0.9665,2.1510,1.1345,56.9407,1902.6427,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:27.141525000,0.2825,0.2825,0.0000,0.0127,0.3853,0.3217,0.0636,NA,NA,NA,NA,NA,NA,NA
python.exe,1968,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:22:27.141807500,0.8704,0.8704,0.0000,0.1129,0.7689,0.0485,0.7204,1.1153,5.0301,1.0357,1904.8129,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:27.142677900,0.1010,0.1010,0.0000,0.0114,0.3473,0.3473,0.0000,NA,NA,NA,NA,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:27.142778900,0.3895,0.3895,0.0000,0.2610,0.1798,0.0987,0.0811,NA,NA,NA,NA,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:27.143168400,2.4949,2.4949,0.0000,0.0545,2.4961,0.1025,2.3936,NA,NA,NA,NA,NA,NA,NA
python.exe,1968,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:22:27.145663300,1.9507,1.9507,0.0000,0.0586,1.9129,0.0777,1.8352,2.2896,13.0313,-1.1743,1908.6687,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:27.147614000,4.6243,4.6243,0.0000,0.0208,7.7132,0.6300,7.0832,NA,NA,NA,NA,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:27.152238300,5.8599,5.8599,0.0000,3.1142,2.8530,0.1893,2.6637,NA,NA,NA,NA,NA,NA,NA
python.exe,1968,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:22:27.158098200,2.6259,2.6259,0.0000,0.1112,2.5302,0.0550,2.4752,2.8860,15.6665,-0.5964,1921.1036,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:27.160724100,3.9644,3.9644,0.0000,0.0155,4.0281,0.3619,3.6662,NA,NA,NA,NA,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:27.164688500,5.0064,5.0064,0.0000,0.0817,5.0196,0.1732,4.8464,11.9622,0.2127,-9.0762,1927.6939,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:27.169694900,6.6758,6.6758,0.0000,0.1009,6.6428,0.1745,6.4683,NA,NA,NA,NA,NA,NA,NA
python.exe,1968,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:22:27.176370700,0.1144,0.1144,0.0000,0.0722,0.0880,0.0841,0.0039,0.4927,16.1679,11.4695,1939.3761,NA,NA,NA
python.exe,1968,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:22:27.176485100,6.2807,6.2807,0.0000,0.0458,6.3341,0.4733,5.8608,NA,NA,NA,NA,NA,NA,NA
