2025-12-16 16:15:41 - widgets.spotify_visualizer_widget - INFO     - [SPOTIFY_VIS] Audio worker started (PyAudioWPatchBackend, 48000Hz, 6 channels)
2025-12-16 16:15:56 - widgets.spotify_visualizer_widget - INFO     - [DEBUG] raw_bass=1.180 Bars: [0.00 0.00 0.00 0.01 0.01 0.00 0.00 0.00 0.00 0.00 0.01 0.01 0.00 0.00 0.00]
2025-12-16 16:15:56 - widgets.spotify_visualizer_widget - INFO     - [DEBUG] raw_bass=1.035 Bars: [0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00]
2025-12-16 16:15:57 - widgets.spotify_visualizer_widget - INFO     - [DEBUG] raw_bass=1.308 Bars: [0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00]
2025-12-16 16:15:58 - widgets.spotify_visualizer_widget - INFO     - [DEBUG] raw_bass=0.566 Bars: [0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00]
2025-12-16 16:15:58 - widgets.spotify_visualizer_widget - INFO     - [DEBUG] raw_bass=1.135 Bars: [0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00]
2025-12-16 16:15:59 - widgets.spotify_visualizer_widget - INFO     - [DEBUG] raw_bass=0.729 Bars: [0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00]
2025-12-16 16:15:59 - widgets.spotify_visualizer_widget - INFO     - [DEBUG] raw_bass=0.776 Bars: [0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00]
2025-12-16 16:16:00 - widgets.spotify_visualizer_widget - INFO     - [DEBUG] raw_bass=1.441 Bars: [0.01 0.02 0.02 0.03 0.04 0.05 0.05 0.06 0.05 0.05 0.04 0.03 0.02 0.02 0.01]
2025-12-16 16:16:01 - widgets.spotify_visualizer_widget - INFO     - [DEBUG] raw_bass=1.200 Bars: [0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00]
2025-12-16 16:16:01 - widgets.spotify_visualizer_widget - INFO     - [PERF] [SPOTIFY_VIS] Tick metrics: duration=17884.5ms, frames=995, avg_fps=55.6, dt_min=11.11ms, dt_max=49.46ms, bar_count=15
2025-12-16 16:16:01 - widgets.spotify_visualizer_widget - INFO     - [DEBUG] raw_bass=1.191 Bars: [0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00]
2025-12-16 16:16:02 - widgets.spotify_visualizer_widget - INFO     - [DEBUG] raw_bass=1.028 Bars: [0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00]
2025-12-16 16:16:03 - widgets.spotify_visualizer_widget - INFO     - [DEBUG] raw_bass=1.317 Bars: [0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00]
2025-12-16 16:16:03 - widgets.spotify_visualizer_widget - INFO     - [DEBUG] raw_bass=0.738 Bars: [0.00 0.00 0.00 0.01 0.01 0.00 0.00 0.00 0.00 0.00 0.01 0.01 0.00 0.00 0.00]
2025-12-16 16:16:04 - widgets.spotify_visualizer_widget - INFO     - [DEBUG] raw_bass=0.752 Bars: [0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00]
