2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=634.1ms, frames=24, avg_fps=37.8, dt_min=10.10ms, dt_max=54.41ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=636.1ms, frames=24, avg_fps=37.7, dt_min=12.10ms, dt_max=54.41ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=638.4ms, frames=24, avg_fps=37.6, dt_min=13.39ms, dt_max=55.42ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=639.9ms, frames=24, avg_fps=37.5, dt_min=14.29ms, dt_max=55.42ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=641.3ms, frames=24, avg_fps=37.4, dt_min=14.29ms, dt_max=55.42ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=642.8ms, frames=24, avg_fps=37.3, dt_min=14.29ms, dt_max=55.42ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=645.3ms, frames=24, avg_fps=37.2, dt_min=14.84ms, dt_max=55.42ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=647.4ms, frames=24, avg_fps=37.1, dt_min=14.84ms, dt_max=56.92ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=648.9ms, frames=24, avg_fps=37.0, dt_min=14.84ms, dt_max=56.92ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=651.5ms, frames=24, avg_fps=36.8, dt_min=14.84ms, dt_max=56.92ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=608.5ms, frames=22, avg_fps=36.2, dt_min=14.28ms, dt_max=51.36ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=611.5ms, frames=22, avg_fps=36.0, dt_min=14.28ms, dt_max=51.36ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=614.6ms, frames=22, avg_fps=35.8, dt_min=13.75ms, dt_max=50.45ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=617.2ms, frames=22, avg_fps=35.6, dt_min=13.75ms, dt_max=50.45ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=620.7ms, frames=22, avg_fps=35.4, dt_min=13.75ms, dt_max=50.45ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=623.3ms, frames=22, avg_fps=35.3, dt_min=13.75ms, dt_max=51.48ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=625.3ms, frames=23, avg_fps=36.8, dt_min=3.62ms, dt_max=51.48ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=627.3ms, frames=23, avg_fps=36.7, dt_min=5.63ms, dt_max=51.48ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=629.8ms, frames=23, avg_fps=36.5, dt_min=7.13ms, dt_max=52.49ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=630.9ms, frames=23, avg_fps=36.5, dt_min=8.19ms, dt_max=52.49ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=632.9ms, frames=23, avg_fps=36.3, dt_min=10.19ms, dt_max=52.49ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=634.9ms, frames=23, avg_fps=36.2, dt_min=11.70ms, dt_max=52.98ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=640.1ms, frames=23, avg_fps=35.9, dt_min=13.75ms, dt_max=52.98ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=641.2ms, frames=23, avg_fps=35.9, dt_min=13.75ms, dt_max=52.98ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=644.2ms, frames=24, avg_fps=37.3, dt_min=3.14ms, dt_max=53.99ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=645.7ms, frames=24, avg_fps=37.2, dt_min=4.65ms, dt_max=53.99ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=648.8ms, frames=24, avg_fps=37.0, dt_min=7.18ms, dt_max=54.49ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=649.8ms, frames=24, avg_fps=36.9, dt_min=8.19ms, dt_max=54.49ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=652.3ms, frames=24, avg_fps=36.8, dt_min=10.73ms, dt_max=54.49ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=654.3ms, frames=24, avg_fps=36.7, dt_min=11.73ms, dt_max=55.49ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=653.2ms, frames=23, avg_fps=35.2, dt_min=10.34ms, dt_max=54.99ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=655.3ms, frames=23, avg_fps=35.1, dt_min=11.39ms, dt_max=56.02ms, active_count=0, fps_target=60
